Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

 -135 -112 -84 -53 -22 -51  36 107 147 161    Pix  1 41
 -133 -110 -82 -54 -22 -52  37 108 152 167    Pix  1 42
 -127 -104 -78 -48 -18 -46  43 112 152 166    Pix  1 43
 -131 -107 -80 -49 -17 -47  42 112 150 162    Pix  1 44
 -135 -112 -87 -59 -28 -56  31 102 149 165    Pix  1 45
 -133 -110 -82 -54 -23 -51  38 108 149 162    Pix  1 46
 -138 -113 -85 -57 -28 -55  33 102 147 161    Pix  1 47
 -133 -110 -84 -58 -25 -53  32 102 150 167    Pix  1 48
 -136 -112 -85 -56 -24 -54  34 105 149 164    Pix  1 49
 -136 -112 -82 -54 -23 -51  37 106 146 160    Pix  1 50
 -131 -110 -82 -54 -21 -52  37 106 150 166    Pix  1 51
 -138 -117 -89 -61 -32 -58  28  99 144 162    Pix  1 52
 -140 -121 -94 -67 -36 -62  23  92 141 159    Pix  1 53
 -130 -107 -79 -51 -19 -47  42 111 153 165    Pix  1 54
 -134 -110 -84 -55 -23 -52  36 105 149 163    Pix  1 55
 -137 -114 -85 -57 -24 -54  33 103 147 161    Pix  1 56
 -135 -112 -84 -55 -24 -52  34 104 151 164    Pix  1 57
 -138 -114 -87 -59 -29 -58  32 101 146 163    Pix  1 58
 -142 -118 -93 -64 -31 -61  26  97 143 158    Pix  1 59
 -135 -113 -86 -58 -28 -57  30 100 149 166    Pix  1 60
 -137 -116 -91 -64 -33 -62  24  94 144 162    Pix  1 61
 -142 -120 -94 -67 -37 -63  21  92 141 159    Pix  1 62
 -139 -120 -92 -64 -35 -63  22  92 144 164    Pix  1 63
 -134 -114 -85 -57 -28 -56  29  99 147 162    Pix  1 64
 -136 -112 -84 -56 -25 -54  33 100 146 160    Pix  1 65
 -139 -116 -89 -61 -30 -59  27  98 147 163    Pix  1 66
 -136 -114 -89 -61 -30 -59  26  95 144 161    Pix  1 67
 -144 -123 -97 -69 -39 -67  18  88 140 159    Pix  1 68
 -139 -117 -91 -63 -34 -61  25  93 145 163    Pix  1 69
 -142 -120 -95 -67 -38 -65  20  89 140 161    Pix  1 70
 -145 -123 -98 -71 -43 -70  16  85 136 159    Pix  1 71
 -140 -118 -92 -65 -36 -64  21  92 143 164    Pix  1 72
 -141 -120 -95 -67 -38 -65  20  87 140 161    Pix  1 73
 -137 -115 -90 -62 -33 -59  26  93 142 158    Pix  1 74
 -141 -117 -93 -65 -35 -64  21  90 142 163    Pix  1 75
 -136 -113 -88 -58 -28 -57  29  96 145 162    Pix  1 76
 -143 -122 -95 -67 -38 -66  20  88 138 158    Pix  1 77
 -137 -116 -91 -62 -31 -59  26  95 146 165    Pix  1 78
 -140 -120 -96 -69 -42 -68  13  78 135 161    Pix  1 79
 -138 -116 -87 -61 -30 -58  31 108 155 169    Pix  2  0
 -137 -112 -84 -55 -24 -52  40 115 154 166    Pix  2  1
 -140 -119 -89 -60 -29 -60  33 107 150 164    Pix  2  2
 -140 -115 -86 -57 -24 -54  36 113 154 168    Pix  2  3
 -145 -120 -93 -62 -31 -61  31 109 152 165    Pix  2  4
 -145 -121 -91 -63 -31 -61  31 106 150 162    Pix  2  5
 -138 -114 -87 -57 -26 -55  38 112 154 168    Pix  2  6
 -141 -114 -85 -57 -24 -54  40 114 155 166    Pix  2  7
 -144 -120 -92 -65 -32 -60  31 107 150 162    Pix  2  8
 -135 -113 -85 -54 -23 -53  41 114 154 167    Pix  2  9
 -145 -126 -98 -70 -37 -67  25  99 146 163    Pix  2 10
 -148 -127 -98 -71 -39 -68  21  97 145 159    Pix  2 11
